,accuracy,precision,recall,f1
KNN,0.63,0.6606307639728692,0.63,0.6320376355670473
Decision Tree,0.42,0.44937029225392394,0.42,0.4268116761755431
SVM,0.725,0.7257486139591403,0.725,0.7221515170038919
Neural Network,0.67,0.6808197358197358,0.67,0.6637815916603103
